step,phase,mode,robots_alive,sigma,lambda2,leak_x,leak_y,agreed_x,agreed_y
0,MONITORING,Hazard Localisation,5,,0.9999999999999996,,,,
1,MONITORING,Hazard Localisation,5,,0.9999999999999996,,,,
2,MONITORING,Hazard Localisation,5,,0.9999999999999996,,,,
3,MONITORING,Hazard Localisation,5,,0.9999999999999996,,,,
4,MONITORING,Hazard Localisation,5,,0.9999999999999996,,,,
5,MONITORING,Hazard Localisation,5,,0.9999999999999996,,,,
6,MONITORING,Hazard Localisation,5,,0.9999999999999996,,,,
7,MONITORING,Hazard Localisation,5,,0.9999999999999996,,,,
8,MONITORING,Hazard Localisation,5,,0.9999999999999996,,,,
9,MONITORING,Hazard Localisation,5,,0.9999999999999996,,,,
10,MONITORING,Hazard Localisation,5,,0.9999999999999996,,,,
11,MONITORING,Hazard Localisation,5,,0.9999999999999996,,,,
12,MONITORING,Hazard Localisation,5,,0.9999999999999996,,,,
13,MONITORING,Hazard Localisation,5,,0.9999999999999996,,,,
14,MONITORING,Hazard Localisation,5,,0.9999999999999996,,,,
15,MONITORING,Hazard Localisation,5,,0.9999999999999996,,,,
16,MONITORING,Hazard Localisation,5,,0.9999999999999996,,,,
17,MONITORING,Hazard Localisation,5,,0.9999999999999996,,,,
18,MONITORING,Hazard Localisation,5,,0.9999999999999996,,,,
19,MONITORING,Hazard Localisation,5,,0.9999999999999987,,,,
20,MONITORING,Hazard Localisation,5,,0.9999999999999987,,,,
21,MONITORING,Hazard Localisation,5,,0.9999999999999987,,,,
22,MONITORING,Hazard Localisation,5,,0.9999999999999987,,,,
23,MONITORING,Hazard Localisation,5,,0.9999999999999987,,,,
24,MONITORING,Hazard Localisation,5,,0.9999999999999987,,,,
25,MONITORING,Hazard Localisation,5,,0.9999999999999987,,,,
26,MONITORING,Hazard Localisation,5,,0.9999999999999987,,,,
27,MONITORING,Hazard Localisation,5,,0.9999999999999987,,,,
28,MONITORING,Hazard Localisation,5,,0.9999999999999987,,,,
29,MONITORING,Hazard Localisation,5,,0.9999999999999987,,,,
30,MONITORING,Hazard Localisation,5,,0.9999999999999987,,,,
31,MONITORING,Hazard Localisation,5,,0.9999999999999987,,,,
32,MONITORING,Hazard Localisation,5,,0.9999999999999987,,,,
33,MONITORING,Hazard Localisation,5,,0.9999999999999987,,,,
34,MONITORING,Hazard Localisation,5,,0.9999999999999987,,,,
35,MONITORING,Hazard Localisation,5,,0.9999999999999987,,,,
36,MONITORING,Hazard Localisation,5,,0.9999999999999987,,,,
37,MONITORING,Hazard Localisation,5,,0.9999999999999987,,,,
38,MONITORING,Hazard Localisation,5,,0.9999999999999987,,,,
39,MONITORING,Hazard Localisation,5,,0.9999999999999987,,,,
40,MONITORING,Hazard Localisation,5,,0.9999999999999987,,,,
41,MONITORING,Hazard Localisation,5,,0.9999999999999987,,,,
42,MONITORING,Hazard Localisation,5,,0.9999999999999987,,,,
43,MONITORING,Hazard Localisation,5,,0.5188056959079841,,,,
44,MONITORING,Hazard Localisation,5,,0.5188056959079841,,,,
