# Simulation started at Sat Jun 27 23:09:05 2026
[t=    0] INIT               5 robots, map 900x600, obstacles=off, sources=1
[t=    0] MODE               entered Hazard Localisation
[t=  199] PHASE              MONITOR → LEAK
[t=  199] LEAK_START         new leak at (785, 380)
[t=  200] DETECT             1/3 located the leak  λ₂=0.00
[t=  236] DETECT             2/3 located the leak  λ₂=0.00
[t=  240] DETECT             2/3 located the leak  λ₂=0.00
[t=  300] DETECT             2/3 located the leak  λ₂=0.00
[t=  360] DETECT             2/3 located the leak  λ₂=0.00
[t=  420] DETECT             2/3 located the leak  λ₂=0.00
[t=  480] DETECT             2/3 located the leak  λ₂=0.00
[t=  540] DETECT             2/3 located the leak  λ₂=0.00
[t=  600] DETECT             2/3 located the leak  λ₂=0.00
[t=  660] DETECT             2/3 located the leak  λ₂=0.00
[t=  720] DETECT             2/3 located the leak  λ₂=0.00
[t=  780] DETECT             2/3 located the leak  λ₂=0.00
[t=  840] DETECT             2/3 located the leak  λ₂=0.00
[t=  900] DETECT             2/3 located the leak  λ₂=0.00
[t=  960] DETECT             2/3 located the leak  λ₂=0.00
[t= 1020] DETECT             2/3 located the leak  λ₂=0.00
[t= 1080] DETECT             2/3 located the leak  λ₂=0.00
[t= 1140] DETECT             2/3 located the leak  λ₂=0.00
[t= 1200] DETECT             2/3 located the leak  λ₂=0.00
[t= 1260] DETECT             2/3 located the leak  λ₂=0.00
[t= 1320] DETECT             2/3 located the leak  λ₂=0.00
[t= 1380] DETECT             2/3 located the leak  λ₂=0.00
[t= 1440] DETECT             2/3 located the leak  λ₂=0.00
[t= 1500] DETECT             2/3 located the leak  λ₂=0.00
[t= 1560] DETECT             2/3 located the leak  λ₂=0.00
[t= 1620] DETECT             2/3 located the leak  λ₂=0.00
[t= 1680] DETECT             2/3 located the leak  λ₂=0.00
[t= 1740] DETECT             2/3 located the leak  λ₂=0.00
[t= 1800] DETECT             2/3 located the leak  λ₂=0.00
[t= 1860] DETECT             2/3 located the leak  λ₂=0.00
[t= 1920] DETECT             2/3 located the leak  λ₂=0.00
[t= 1980] DETECT             2/3 located the leak  λ₂=0.00
[t= 2040] DETECT             2/3 located the leak  λ₂=0.00
[t= 2100] DETECT             2/3 located the leak  λ₂=0.00
[t= 2160] DETECT             2/3 located the leak  λ₂=0.00
[t= 2220] DETECT             2/3 located the leak  λ₂=0.00
[t= 2280] DETECT             2/3 located the leak  λ₂=0.00
[t= 2340] DETECT             2/3 located the leak  λ₂=0.00
[t= 2400] DETECT             2/3 located the leak  λ₂=0.00
[t= 2460] DETECT             2/3 located the leak  λ₂=0.00
[t= 2520] DETECT             2/3 located the leak  λ₂=0.00
[t= 2580] DETECT             2/3 located the leak  λ₂=0.00
[t= 2640] DETECT             2/3 located the leak  λ₂=0.00
[t= 2700] DETECT             2/3 located the leak  λ₂=0.00
[t= 2760] DETECT             2/3 located the leak  λ₂=0.00
[t= 2820] DETECT             2/3 located the leak  λ₂=0.00
[t= 2880] DETECT             2/3 located the leak  λ₂=0.00
[t= 2940] DETECT             2/3 located the leak  λ₂=0.00
