step,phase,mode,robots_alive,sigma,lambda2,leak_x,leak_y,agreed_x,agreed_y
0,MONITORING,Hazard Localization,5,,2.0000000000000004,,,,
1,MONITORING,Hazard Localization,5,,2.0000000000000004,,,,
2,MONITORING,Hazard Localization,5,,2.0000000000000004,,,,
3,MONITORING,Hazard Localization,5,,2.0000000000000004,,,,
4,MONITORING,Hazard Localization,5,,2.0000000000000004,,,,
5,MONITORING,Hazard Localization,5,,2.0000000000000004,,,,
6,MONITORING,Hazard Localization,5,,2.999999999999999,,,,
7,MONITORING,Hazard Localization,5,,2.999999999999999,,,,
8,MONITORING,Hazard Localization,5,,2.999999999999999,,,,
9,MONITORING,Hazard Localization,5,,2.999999999999999,,,,
10,MONITORING,Hazard Localization,5,,2.999999999999999,,,,
11,MONITORING,Hazard Localization,5,,2.999999999999999,,,,
12,MONITORING,Hazard Localization,5,,2.999999999999999,,,,
13,MONITORING,Hazard Localization,5,,2.999999999999999,,,,
14,MONITORING,Hazard Localization,5,,2.999999999999999,,,,
15,MONITORING,Hazard Localization,5,,2.999999999999999,,,,
16,MONITORING,Hazard Localization,5,,2.999999999999999,,,,
17,MONITORING,Hazard Localization,5,,2.999999999999999,,,,
18,MONITORING,Hazard Localization,5,,2.999999999999999,,,,
19,MONITORING,Hazard Localization,5,,2.999999999999999,,,,
20,MONITORING,Hazard Localization,5,,2.999999999999999,,,,
21,MONITORING,Hazard Localization,5,,2.999999999999999,,,,
22,MONITORING,Hazard Localization,5,,2.999999999999999,,,,
23,MONITORING,Hazard Localization,5,,2.999999999999999,,,,
24,MONITORING,Hazard Localization,5,,2.999999999999999,,,,
25,MONITORING,Hazard Localization,5,,2.999999999999999,,,,
26,MONITORING,Hazard Localization,5,,2.999999999999999,,,,
27,MONITORING,Hazard Localization,5,,2.999999999999999,,,,
28,MONITORING,Hazard Localization,5,,2.999999999999999,,,,
29,MONITORING,Hazard Localization,5,,2.999999999999999,,,,
